Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
1,0,0.0,0,0,106,0.0,70.0,360.0,1.0,1
1,1,0.0,0,1,202,0.0,25.0,120.0,1.0,1
1,0,0.0,0,0,332,0.0,102.0,360.0,1.0,1
1,1,3.0,0,0,268,7750.0,290.0,360.0,1.0,1
0,1,0.0,0,0,306,0.0,84.0,360.0,1.0,0
1,1,2.0,0,1,184,3500.0,88.0,360.0,1.0,2
1,0,0.0,0,0,478,0.0,242.0,360.0,0.0,1
1,1,2.0,1,0,284,1430.0,129.0,360.0,1.0,0
1,1,2.0,0,0,339,2083.0,185.0,360.0,1.0,0
1,0,0.0,0,0,353,0.0,168.0,360.0,1.0,2
1,0,0.0,0,1,411,0.0,175.0,180.0,1.0,1
1,1,0.0,0,0,102,2034.0,122.0,360.0,1.0,1
1,1,2.0,0,0,467,0.0,187.0,180.0,1.0,2
0,1,0.0,0,0,64,4486.0,100.0,360.0,1.0,1
0,1,2.0,0,0,476,0.0,70.0,360.0,1.0,2
1,1,1.0,0,0,11,1425.0,30.0,360.0,1.0,2
0,0,0.0,0,0,454,1666.0,225.0,360.0,1.0,0
1,1,0.0,0,0,328,830.0,125.0,360.0,1.0,1
1,0,0.0,0,0,394,0.0,118.0,360.0,0.0,0
1,1,0.0,0,1,89,3750.0,152.0,360.0,1.0,0
1,0,0.0,0,0,442,0.0,244.0,360.0,1.0,2
1,1,2.0,1,0,60,0.0,113.0,360.0,1.0,0
1,0,0.0,0,0,179,0.0,50.0,360.0,1.0,2
1,1,3.0,0,0,501,0.0,600.0,180.0,0.0,1
1,1,1.0,0,0,381,0.0,160.0,360.0,1.0,0
1,1,1.0,0,0,449,0.0,187.0,360.0,1.0,2
1,0,0.0,0,2,136,2083.0,120.0,360.0,1.0,0
1,1,0.0,0,0,306,5625.0,255.0,360.0,1.0,1
1,1,0.0,1,0,25,1041.0,98.0,360.0,1.0,1
1,1,0.0,0,0,428,0.0,275.0,360.0,1.0,2
1,1,1.0,0,0,156,1280.0,121.0,360.0,0.0,1
1,1,2.0,0,0,280,1447.0,158.0,360.0,1.0,0
1,1,0.0,0,0,444,0.0,75.0,180.0,1.0,2
1,1,0.0,0,0,234,3166.0,182.0,360.0,1.0,0
0,1,0.0,0,0,306,0.0,112.0,360.0,1.0,0
1,1,0.0,0,0,75,3333.0,129.0,360.0,1.0,0
1,0,0.0,0,0,56,0.0,63.0,480.0,0.0,1
1,1,2.0,0,0,430,0.0,200.0,360.0,1.0,1
1,1,0.0,1,2,20,1769.0,95.0,360.0,1.0,0
2,1,3.0,0,0,502,0.0,700.0,300.0,1.0,2
1,1,3.0,1,0,209,0.0,81.0,180.0,1.0,0
1,1,0.0,0,0,366,5625.0,187.0,360.0,1.0,1
1,1,0.0,1,1,295,736.0,87.0,360.0,1.0,1
1,1,0.0,0,0,206,1964.0,116.0,360.0,1.0,0
1,1,2.0,0,0,39,1619.0,101.0,360.0,1.0,0
1,1,3.0,0,0,358,11300.0,495.0,360.0,0.0,1
1,1,1.0,0,0,240,0.0,116.0,360.0,1.0,1
1,0,0.0,1,0,65,1451.0,102.0,480.0,0.0,2
1,1,1.0,0,0,399,7250.0,180.0,360.0,0.0,2
1,0,0.0,0,0,29,5063.0,67.0,360.0,1.0,0
1,1,0.0,0,0,307,0.0,73.0,180.0,1.0,1
1,1,1.0,0,0,498,0.0,260.0,360.0,1.0,1
0,1,0.0,0,0,225,0.0,108.0,360.0,1.0,1
1,1,0.0,0,1,500,4750.0,120.0,360.0,1.0,1
1,1,1.0,0,1,51,0.0,66.0,300.0,0.0,0
1,1,0.0,0,0,69,2138.0,58.0,360.0,1.0,0
2,1,0.0,0,1,4,5296.0,168.0,360.0,1.0,0
1,1,0.0,0,0,445,0.0,188.0,180.0,1.0,0
1,0,0.0,1,0,330,0.0,48.0,360.0,1.0,0
1,0,0.0,0,0,468,0.0,164.0,360.0,1.0,1
1,1,0.0,1,0,382,0.0,160.0,360.0,1.0,2
1,0,0.0,0,0,251,0.0,76.0,360.0,1.0,1
1,0,0.0,0,0,283,0.0,120.0,360.0,1.0,0
1,1,1.0,0,0,160,2583.0,170.0,360.0,1.0,1
1,0,0.0,0,0,434,3750.0,187.0,360.0,1.0,0
0,0,0.0,1,0,28,2365.0,120.0,360.0,1.0,2
0,1,0.0,0,0,196,2816.0,113.0,360.0,1.0,1
1,0,0.0,0,1,462,0.0,83.0,360.0,1.0,2
1,1,1.0,1,0,91,2500.0,90.0,360.0,1.0,1
1,0,2.0,0,0,334,0.0,166.0,360.0,0.0,1
1,1,3.0,1,0,266,0.0,146.41216216216216,180.0,1.0,2
1,1,1.0,1,0,207,1083.0,135.0,360.0,1.0,2
1,1,2.0,1,0,259,0.0,124.0,360.0,1.0,1
0,0,0.0,1,0,300,0.0,120.0,360.0,1.0,1
0,0,0.0,0,0,176,0.0,80.0,360.0,1.0,2
1,0,0.0,1,0,263,2531.0,55.0,360.0,1.0,0
1,0,0.0,0,0,78,0.0,59.0,360.0,1.0,2
1,0,0.0,0,0,198,0.0,127.0,360.0,1.0,1
0,0,0.0,0,0,454,0.0,214.0,360.0,1.0,1
1,1,3.0,0,0,200,1250.0,128.0,360.0,0.0,1
1,1,1.0,0,1,426,0.0,240.0,360.0,1.0,2
1,1,3.0,1,1,365,0.0,130.0,360.0,1.0,0
1,1,0.0,0,0,167,3021.0,137.0,360.0,1.0,2
1,1,3.0,1,0,250,983.0,100.0,360.0,1.0,1
1,1,0.0,0,0,0,1800.0,135.0,360.0,1.0,0
1,1,0.0,0,0,238,1775.0,131.0,360.0,1.0,1
1,1,2.0,0,2,338,0.0,72.0,360.0,0.0,1
0,1,2.0,0,0,288,2383.0,127.0,360.0,1.0,1
1,1,0.0,0,0,55,0.0,60.0,360.0,0.0,2
1,1,2.0,0,0,270,1717.0,116.0,360.0,1.0,1
1,0,0.0,0,0,135,2791.0,144.0,360.0,1.0,1
1,1,0.0,0,0,421,1010.0,175.0,360.0,1.0,1
1,1,0.0,0,0,392,0.0,128.0,360.0,1.0,1
1,1,0.0,0,0,178,0.0,170.0,360.0,1.0,0
1,1,0.0,1,1,322,0.0,138.0,360.0,1.0,2
1,1,2.0,0,0,392,1695.0,210.0,360.0,1.0,1
1,2,0.0,0,0,325,0.0,158.0,480.0,1.0,1
1,0,0.0,0,1,399,0.0,200.0,360.0,1.0,0
1,1,1.0,0,0,81,2054.0,104.0,360.0,1.0,1
1,1,0.0,0,2,236,0.0,42.0,180.0,1.0,0
1,0,0.0,1,0,170,2598.0,120.0,360.0,1.0,0
0,0,0.0,0,0,434,0.0,280.0,360.0,1.0,1
1,1,1.0,0,0,162,1779.0,140.0,360.0,1.0,1
1,1,1.0,0,0,356,1260.0,170.0,360.0,1.0,0
1,1,0.0,0,2,368,0.0,255.0,360.0,1.0,2
0,0,0.0,0,1,203,0.0,122.0,360.0,1.0,2
0,0,1.0,0,0,244,0.0,112.0,360.0,1.0,0
1,1,1.0,0,0,183,0.0,96.0,360.0,1.0,1
1,1,2.0,0,0,373,5000.0,120.0,360.0,1.0,0
1,1,1.0,1,0,86,1983.0,140.0,180.0,1.0,2
1,0,0.0,0,0,134,5701.0,155.0,60.0,1.0,2
1,1,2.0,0,1,392,1300.0,108.0,360.0,1.0,0
1,1,0.0,1,0,194,4417.0,123.0,360.0,1.0,1
1,0,0.0,0,1,384,4333.0,120.0,180.0,1.0,2
1,1,2.0,0,0,451,0.0,112.0,360.0,1.0,2
1,1,1.0,1,0,404,0.0,137.0,180.0,1.0,2
1,1,1.0,0,0,121,1843.0,123.0,480.0,1.0,1
1,1,0.0,0,0,18,1868.0,90.0,360.0,1.0,2
1,1,0.0,1,0,14,3890.0,201.0,360.0,0.0,1
0,0,2.0,0,0,199,0.0,138.0,360.0,1.0,2
1,0,0.0,1,1,90,2167.0,104.0,360.0,1.0,0
1,1,1.0,1,0,98,7101.0,279.0,180.0,1.0,1
1,0,0.0,0,1,482,0.0,192.0,360.0,0.0,2
0,0,3.0,0,0,153,0.0,255.0,360.0,1.0,0
1,0,0.0,1,0,383,0.0,115.0,360.0,0.0,0
1,1,3.0,0,0,347,0.0,94.0,360.0,1.0,2
1,1,0.0,0,0,475,2100.0,304.0,360.0,1.0,0
1,1,3.0,1,0,335,0.0,128.0,360.0,1.0,1
1,1,1.0,0,0,387,4250.0,330.0,360.0,1.0,2
1,0,0.0,0,0,41,2209.0,134.0,360.0,1.0,1
0,0,1.0,0,0,205,0.0,155.0,36.0,1.0,1
0,0,0.0,0,0,416,0.0,120.0,360.0,1.0,0
1,0,0.0,0,1,343,0.0,128.0,360.0,1.0,1
1,0,0.0,0,0,273,3447.0,151.0,360.0,1.0,0
1,1,2.0,0,0,320,1387.0,150.0,360.0,1.0,1
1,1,3.0,0,0,293,1811.0,160.0,360.0,0.0,2
0,0,0.0,0,2,198,0.0,135.0,360.0,1.0,0
0,0,1.0,0,0,120,1560.0,90.0,360.0,1.0,2
0,0,0.0,0,0,175,0.0,30.0,360.0,1.0,2
1,1,0.0,0,0,463,0.0,136.0,360.0,1.0,2
1,0,0.0,0,0,117,1857.0,126.0,360.0,1.0,0
1,1,0.0,0,0,93,2223.0,150.0,360.0,1.0,1
1,1,2.0,0,0,257,0.0,90.0,360.0,1.0,1
1,1,1.0,0,0,109,1842.0,115.0,360.0,1.0,1
1,1,0.0,0,0,267,3274.0,207.0,360.0,1.0,1
1,1,0.0,0,0,159,1300.0,80.0,360.0,1.0,2
1,1,0.0,0,0,474,0.0,436.0,360.0,1.0,1
0,1,0.0,1,0,274,0.0,124.0,360.0,1.0,0
1,0,1.0,1,1,272,2426.0,158.0,360.0,0.0,2
1,1,0.0,0,0,260,800.0,112.0,360.0,1.0,1
1,1,2.0,0,0,62,985.7999878,78.0,180.0,1.0,2
0,0,0.0,0,0,19,1666.0,54.0,360.0,1.0,2
1,1,0.0,0,0,495,0.0,146.41216216216216,360.0,1.0,0
1,0,0.0,0,0,163,3053.0,89.0,360.0,1.0,0
0,0,0.0,0,1,91,1717.0,99.0,300.0,1.0,1
1,1,0.0,0,0,233,2000.0,120.0,360.0,1.0,0
0,0,0.0,0,0,276,0.0,115.0,360.0,1.0,1
1,0,0.0,0,0,448,0.0,187.0,360.0,1.0,0
1,1,0.0,0,0,152,2416.0,139.0,360.0,1.0,0
1,1,2.0,0,0,299,0.0,127.0,360.0,0.0,1
1,1,2.0,0,0,161,1560.0,134.0,360.0,1.0,2
0,0,0.0,0,0,353,0.0,143.0,480.0,0.0,2
1,1,0.0,0,0,69,3334.0,172.0,360.0,1.0,1
1,1,3.0,0,2,301,1250.0,110.0,360.0,1.0,2
1,1,1.0,0,0,410,0.0,200.0,360.0,1.0,1
0,1,1.0,0,0,313,0.0,135.0,360.0,1.0,2
0,0,0.0,0,0,338,2541.0,151.0,480.0,1.0,0
1,1,1.0,0,0,37,2925.0,113.0,360.0,1.0,2
1,1,0.0,1,0,17,2934.0,93.0,360.0,0.0,2
1,1,0.0,1,0,119,1750.0,105.0,360.0,1.0,1
0,0,0.0,0,0,338,0.0,132.0,360.0,1.0,0
1,1,1.0,0,0,13,1803.0,96.0,360.0,1.0,2
1,0,0.0,0,0,268,2500.0,140.0,360.0,1.0,0
1,0,0.0,1,0,36,0.0,146.41216216216216,360.0,1.0,2
0,0,0.0,0,0,241,1666.0,135.0,360.0,1.0,0
0,0,0.0,0,0,71,1863.0,104.0,360.0,0.0,2
1,0,0.0,0,0,494,0.0,480.0,360.0,1.0,0
1,1,2.0,1,0,424,0.0,185.0,360.0,1.0,0
0,0,0.0,0,0,126,0.0,84.0,360.0,1.0,1
1,0,0.0,1,0,128,2405.0,111.0,360.0,1.0,1
0,0,0.0,0,0,85,0.0,56.0,360.0,1.0,0
1,1,2.0,0,1,368,0.0,144.0,84.0,1.0,0
2,1,0.0,0,0,77,1843.0,159.0,360.0,1.0,0
1,1,1.0,1,0,192,1640.0,111.0,180.0,1.0,2
1,1,2.0,0,0,237,0.0,120.0,360.0,1.0,1
1,1,0.0,0,0,40,2134.0,88.0,360.0,1.0,2
0,0,1.0,0,0,212,0.0,112.0,360.0,1.0,1
1,1,1.0,0,1,454,0.0,155.0,360.0,1.0,0
1,1,0.0,0,0,71,2167.0,115.0,360.0,1.0,1
1,1,3.0,0,0,294,189.0,124.0,360.0,1.0,1
1,1,2.0,1,0,222,1590.0,146.41216216216216,360.0,1.0,0
0,0,0.0,0,0,165,2985.0,132.0,360.0,1.0,0
1,1,3.0,0,0,479,0.0,300.0,360.0,1.0,0
1,1,1.0,0,1,438,4983.0,376.0,360.0,0.0,0
1,0,0.0,0,0,333,0.0,130.0,360.0,0.0,0
1,1,0.0,0,1,372,2160.0,184.0,360.0,1.0,1
0,1,0.0,0,0,293,2451.0,110.0,360.0,1.0,2
0,0,0.0,0,0,84,0.0,67.0,360.0,1.0,2
1,0,1.0,0,0,298,1793.0,117.0,360.0,1.0,2
1,0,0.0,0,0,130,0.0,98.0,360.0,1.0,1
1,0,0.0,0,0,117,0.0,71.0,360.0,1.0,2
1,1,0.0,0,2,503,0.0,490.0,180.0,1.0,2
2,1,1.0,0,1,452,1833.0,182.0,180.0,1.0,2
1,1,0.0,0,1,357,4490.0,70.0,360.0,1.0,1
1,1,1.0,0,2,347,688.0,160.0,360.0,1.0,0
1,1,2.0,0,1,84,4600.0,176.0,360.0,1.0,0
0,0,3.0,1,0,22,0.0,146.41216216216216,360.0,0.0,2
0,0,0.0,0,0,278,0.0,71.0,360.0,1.0,1
1,1,3.0,1,0,96,1587.0,173.0,360.0,1.0,0
0,0,0.0,0,0,68,0.0,46.0,360.0,1.0,0
1,1,1.0,1,0,304,1229.0,158.0,360.0,1.0,2
1,1,3.0,1,0,167,0.0,74.0,360.0,1.0,1
1,1,2.0,0,2,90,2330.0,125.0,360.0,1.0,0
1,1,0.0,0,0,83,2458.0,160.0,360.0,1.0,1
1,1,0.0,1,0,210,3230.0,152.0,360.0,0.0,0
1,1,2.0,1,0,153,2168.0,126.0,360.0,1.0,2
1,1,0.0,0,0,397,4583.0,259.0,360.0,1.0,1
1,1,0.0,0,0,94,6250.0,187.0,360.0,1.0,0
1,1,0.0,0,0,441,0.0,228.0,360.0,1.0,1
1,0,0.0,0,0,439,4167.0,308.0,360.0,1.0,0
1,1,3.0,0,0,99,2083.0,95.0,360.0,1.0,0
0,1,0.0,0,1,356,0.0,105.0,360.0,0.0,0
0,1,0.0,0,0,72,505.0,130.0,360.0,1.0,1
0,0,0.0,0,0,245,0.0,116.0,180.0,1.0,2
1,1,2.0,0,0,434,3167.0,165.0,360.0,1.0,0
1,1,1.0,0,0,255,0.0,67.0,360.0,1.0,2
1,1,0.0,1,0,139,1666.0,100.0,480.0,0.0,2
1,1,3.0,0,0,344,3167.0,200.0,360.0,1.0,1
0,0,1.0,0,0,321,0.0,81.0,360.0,1.0,1
1,1,2.0,0,0,338,3667.0,236.0,360.0,1.0,1
1,1,0.0,0,0,323,2333.0,130.0,360.0,1.0,2
1,1,0.0,0,0,141,3033.0,95.0,300.0,1.0,2
1,0,0.0,0,1,409,0.0,141.0,360.0,1.0,0
1,0,0.0,1,0,391,0.0,133.0,360.0,1.0,0
1,0,0.0,0,0,84,0.0,96.0,480.0,1.0,1
1,0,0.0,0,0,342,0.0,124.0,360.0,0.0,0
1,1,1.0,0,0,396,0.0,175.0,360.0,1.0,1
1,1,0.0,0,0,492,5266.0,570.0,360.0,1.0,0
0,0,0.0,0,1,480,0.0,55.0,360.0,1.0,1
1,1,2.0,0,0,345,0.0,155.0,360.0,1.0,1
1,1,2.0,0,1,444,7873.0,380.0,300.0,1.0,0
1,0,1.0,0,0,148,1987.0,111.0,180.0,0.0,2
0,0,0.0,0,2,111,1459.0,110.0,360.0,1.0,2
1,1,0.0,0,0,326,923.0,120.0,180.0,1.0,2
1,1,3.0,0,0,439,4996.0,130.0,360.0,1.0,0
1,1,0.0,0,0,292,0.0,130.0,360.0,1.0,1
1,0,0.0,0,0,149,0.0,71.0,480.0,1.0,2
1,1,2.0,0,0,352,0.0,130.0,360.0,1.0,2
1,1,0.0,0,2,186,2500.0,128.0,360.0,1.0,1
1,0,0.0,0,0,379,4232.0,296.0,360.0,1.0,1
0,0,0.0,0,0,381,0.0,156.0,360.0,1.0,2
1,0,0.0,0,1,415,0.0,128.0,360.0,1.0,2
1,1,2.0,0,0,305,0.0,100.0,360.0,1.0,2
1,0,1.0,0,2,228,0.0,113.0,180.0,1.0,2
1,0,0.0,1,0,66,1600.0,132.0,360.0,1.0,1
1,1,0.0,1,0,140,3136.0,146.41216216216216,360.0,0.0,2
1,1,0.0,0,0,65,2417.0,136.0,360.0,1.0,2
1,1,0.0,0,0,355,0.0,125.0,360.0,1.0,0
1,0,3.0,0,0,443,0.0,185.0,360.0,1.0,0
1,1,3.0,0,0,447,0.0,275.0,360.0,1.0,0
1,1,0.0,0,0,90,2115.0,120.0,360.0,1.0,2
1,1,2.0,1,0,35,1625.0,113.0,180.0,1.0,1
1,1,2.0,0,0,158,1400.0,113.0,360.0,1.0,2
1,1,2.0,0,0,181,484.0,135.0,360.0,1.0,1
0,0,0.0,0,0,168,0.0,71.0,360.0,0.0,2
1,1,0.0,0,0,145,1459.0,95.0,360.0,1.0,2
1,0,0.0,1,0,258,1666.0,109.0,360.0,1.0,0
0,0,0.0,0,0,10,1800.0,103.0,360.0,0.0,1
1,1,2.0,1,0,122,0.0,45.0,180.0,0.0,2
1,0,0.0,1,0,110,0.0,65.0,300.0,1.0,0
1,0,0.0,0,0,84,20000.0,103.0,360.0,1.0,1
0,0,0.0,1,0,33,0.0,53.0,360.0,1.0,1
0,0,0.0,0,1,419,0.0,194.0,360.0,1.0,0
0,0,0.0,0,0,303,0.0,115.0,360.0,1.0,1
1,1,0.0,1,0,50,2400.0,115.0,360.0,1.0,2
0,0,0.0,1,0,53,0.0,66.0,360.0,1.0,0
1,1,1.0,0,0,433,0.0,152.0,300.0,0.0,1
1,1,3.0,0,0,504,0.0,360.0,360.0,0.0,0
0,0,1.0,1,1,254,0.0,62.0,360.0,1.0,1
1,1,0.0,0,2,393,0.0,160.0,360.0,1.0,2
1,1,0.0,1,0,388,0.0,218.0,360.0,0.0,0
1,1,0.0,1,0,58,2033.0,110.0,360.0,1.0,0
0,1,0.0,1,0,48,3237.0,178.0,360.0,0.0,1
0,0,0.0,0,0,138,0.0,60.0,360.0,1.0,2
0,0,1.0,0,0,91,0.0,160.0,360.0,1.0,2
1,1,2.0,0,1,12,20000.0,239.0,360.0,1.0,2
1,1,0.0,0,0,6,2773.0,112.0,360.0,1.0,0
1,1,0.0,0,0,177,1417.0,138.0,360.0,1.0,1
1,1,0.0,0,0,375,0.0,138.0,360.0,1.0,0
0,0,0.0,1,0,107,0.0,80.0,360.0,0.0,2
1,1,0.0,0,0,20,1719.0,100.0,360.0,1.0,2
1,1,1.0,0,0,417,1667.0,110.0,360.0,0.0,2
